<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
BTSX.BTC/USD,60,20210109,160000,40625.2600000,40963.3700000,40433.9600000,40915.3600000,143
BTSX.BTC/USD,60,20210109,170000,40915.3700000,41284.1100000,40765.9900000,41133.4400000,153
BTSX.BTC/USD,60,20210109,180000,41135.8500000,41422.7700000,40779.6100000,40874.4500000,175
BTSX.BTC/USD,60,20210109,190000,40898.3900000,41024.0000000,40305.6700000,40631.8100000,172
BTSX.BTC/USD,60,20210109,200000,40623.2900000,40714.0100000,39969.7100000,40085.0900000,140
BTSX.BTC/USD,60,20210109,210000,40114.8300000,40664.4000000,40089.0800000,40516.0100000,121
BTSX.BTC/USD,60,20210109,220000,40516.0100000,40899.9000000,40515.0900000,40728.9500000,133
BTSX.BTC/USD,60,20210109,230000,40731.1600000,40968.1300000,40548.0800000,40741.9000000,207
BTSX.BTC/USD,60,20210110,000000,40747.4600000,40869.5700000,40147.2400000,40741.0300000,220
BTSX.BTC/USD,60,20210110,010000,40743.0600000,40889.9200000,40600.8100000,40829.8900000,125
BTSX.BTC/USD,60,20210110,020000,40860.1700000,40889.9200000,40293.8400000,40446.6000000,65
BTSX.BTC/USD,60,20210110,030000,40447.2500000,40585.0500000,40100.0000000,40239.0600000,170
BTSX.BTC/USD,60,20210110,040000,40239.0600000,40840.0000000,40239.0600000,40688.4700000,152
BTSX.BTC/USD,60,20210110,050000,40696.9200000,41450.0000000,40558.6300000,41236.0600000,158
BTSX.BTC/USD,60,20210110,060000,41236.0600000,41236.6500000,40950.5300000,41070.9100000,62
BTSX.BTC/USD,60,20210110,070000,41070.9100000,41110.7800000,40402.4600000,40480.5100000,95
BTSX.BTC/USD,60,20210110,080000,40443.3600000,40732.8800000,40151.8000000,40476.7100000,280
BTSX.BTC/USD,60,20210110,090000,40450.2600000,40743.0600000,40380.5100000,40558.7100000,53
BTSX.BTC/USD,60,20210110,100000,40550.0200000,41185.2100000,40498.5900000,41027.3700000,274
BTSX.BTC/USD,60,20210110,110000,41006.2800000,41175.1000000,40802.0500000,41052.4700000,60
BTSX.BTC/USD,60,20210110,120000,41092.0200000,41146.6700000,39000.0000000,40900.0000000,439
BTSX.BTC/USD,60,20210110,130000,40900.0000000,41135.8500000,40791.7700000,40844.4100000,88
BTSX.BTC/USD,60,20210110,140000,40815.2300000,40921.2700000,40050.0000000,40499.0700000,289
BTSX.BTC/USD,60,20210110,150000,40500.7900000,40500.7900000,38928.5000000,39225.2700000,708
BTSX.BTC/USD,60,20210110,160000,39227.2300000,39825.1800000,38556.2700000,39623.5100000,540
BTSX.BTC/USD,60,20210110,170000,39605.6000000,40182.6700000,39503.5700000,39850.0000000,120
BTSX.BTC/USD,60,20210110,180000,39850.0000000,39917.1500000,39313.0000000,39471.4200000,208
BTSX.BTC/USD,60,20210110,190000,39491.5600000,39968.7200000,39136.8600000,39733.6300000,131
BTSX.BTC/USD,60,20210110,200000,39723.6600000,39799.1900000,39231.1300000,39280.0800000,91
BTSX.BTC/USD,60,20210110,210000,39271.7500000,39394.4300000,37193.7300000,38675.4500000,1373
BTSX.BTC/USD,60,20210110,220000,38597.4200000,38825.8900000,37702.3900000,38078.0800000,412
BTSX.BTC/USD,60,20210110,230000,38078.0800000,38541.4000000,37104.6300000,37352.2300000,548
BTSX.BTC/USD,60,20210111,000000,37357.8800000,37778.1500000,34322.0700000,37733.0900000,3159
BTSX.BTC/USD,60,20210111,010000,37740.1900000,38261.1900000,37507.2900000,38046.3600000,661
BTSX.BTC/USD,60,20210111,020000,38046.3600000,39068.2800000,37847.5000000,38453.0400000,579
BTSX.BTC/USD,60,20210111,030000,38456.2900000,38703.5000000,37959.8100000,38173.7300000,355
BTSX.BTC/USD,60,20210111,040000,38164.8800000,38261.3900000,36706.2900000,37173.6400000,740
BTSX.BTC/USD,60,20210111,050000,37190.5500000,37795.4200000,36706.2900000,37235.1900000,339
BTSX.BTC/USD,60,20210111,060000,37252.7000000,37392.6700000,36111.0000000,36345.9900000,509
BTSX.BTC/USD,60,20210111,070000,36304.2700000,36662.2800000,33447.0000000,35373.5100000,2203
BTSX.BTC/USD,60,20210111,080000,35363.3400000,35965.5100000,34280.9300000,35500.0000000,1054
BTSX.BTC/USD,60,20210111,090000,35490.0800000,35914.2200000,34467.0000000,34825.8300000,753
BTSX.BTC/USD,60,20210111,100000,34799.8700000,34815.8900000,32440.9800000,32665.7200000,1736
BTSX.BTC/USD,60,20210111,110000,32667.3200000,34714.9500000,32330.0100000,34319.3900000,1736
BTSX.BTC/USD,60,20210111,120000,34323.0900000,35872.8100000,34042.6500000,35421.3200000,1083
BTSX.BTC/USD,60,20210111,130000,35400.0100000,35759.0300000,34819.5800000,35759.0300000,403
BTSX.BTC/USD,60,20210111,140000,35731.3700000,36386.1500000,35239.6800000,35354.4400000,747
BTSX.BTC/USD,60,20210111,150000,35357.6900000,35451.6300000,34005.0100000,34082.5000000,686
BTSX.BTC/USD,60,20210111,160000,34142.6500000,35070.2600000,33270.0000000,34186.3000000,1023
BTSX.BTC/USD,60,20210111,170000,34185.7900000,34363.2500000,32675.2500000,32757.2200000,1243
BTSX.BTC/USD,60,20210111,180000,32757.2200000,33791.1100000,30699.7800000,33288.4700000,2888
BTSX.BTC/USD,60,20210111,190000,33260.0500000,33654.0200000,31332.1000000,31500.7100000,1611
BTSX.BTC/USD,60,20210111,200000,31500.0000000,32169.7800000,30261.1300000,31703.1800000,2941
BTSX.BTC/USD,60,20210111,210000,31709.1100000,33586.0000000,30626.2300000,32775.2800000,2151
BTSX.BTC/USD,60,20210111,220000,32784.5900000,33299.3300000,32420.9500000,32517.5300000,981
BTSX.BTC/USD,60,20210111,230000,32545.8300000,32713.1600000,31182.1600000,32200.3600000,1347
BTSX.BTC/USD,60,20210112,000000,32199.3300000,33428.3500000,31407.3400000,33407.9800000,1378
BTSX.BTC/USD,60,20210112,010000,33391.8700000,34487.1100000,32991.5800000,33957.1900000,1402
BTSX.BTC/USD,60,20210112,020000,33957.2900000,34900.0000000,33669.7600000,34408.1500000,630
BTSX.BTC/USD,60,20210112,030000,34409.4200000,35650.0000000,34409.4200000,35455.5800000,798
BTSX.BTC/USD,60,20210112,040000,35449.7100000,35547.8300000,34322.0700000,34925.9800000,838
BTSX.BTC/USD,60,20210112,050000,35029.0000000,35450.0000000,33912.9100000,34280.5500000,559
